fundoo,base,be,38251,Mon Nov  5 03:15:58 2018,['3307215913048'],['Thuis'],29.99,,,
fundoo,base,be,43211,Mon Nov  5 03:15:57 2018,['5413921076354'],"['Thuis', 'Baby & peuter', 'Baby Slaapt', 'Bedtextiel']",44.99,,,
fundoo,base,be,48127,Mon Nov  5 03:15:57 2018,['5702015866477'],"['Thuis', 'LEGO', 'LEGO Huis']",99.99,84.99,
fundoo,base,be,50265,Mon Nov  5 03:15:58 2018,['5420071112986'],['Thuis'],8.99,7.64,
fundoo,base,be,2501,Mon Nov  5 03:15:59 2018,['6942138910650'],['Thuis'],1199.0,,,
fundoo,base,be,13262,Mon Nov  5 03:16:01 2018,['5420023561367'],['Thuis'],6.5,,,
fundoo,base,be,65751,Mon Nov  5 03:16:01 2018,['4012927103593'],['Thuis'],39.99,,,
fundoo,base,be,11337,Mon Nov  5 03:16:02 2018,['8714929209070'],['Thuis'],6.99,3.5,
fundoo,base,be,23702,Mon Nov  5 03:16:02 2018,['0883028466566'],"['Thuis', 'Cars']",16.99,,,
fundoo,base,be,14461,Mon Nov  5 03:16:02 2018,['5411401723101'],['Thuis'],0.99,,,
fundoo,base,be,66323,Mon Nov  5 03:16:02 2018,['3307216075660'],['Thuis'],39.99,,,
fundoo,base,be,25640,Mon Nov  5 03:16:03 2018,['3700392413057'],['Thuis'],17.99,15.29,
fundoo,base,be,35530,Mon Nov  5 03:16:03 2018,['0887961274325'],"['Thuis', 'Poppen', 'Barbie']",74.99,63.74,
fundoo,base,be,66013,Mon Nov  5 03:16:04 2018,['8711808309906'],['Thuis'],19.99,16.99,
fundoo,base,be,73679,Mon Nov  5 03:16:04 2018,['09789462773295'],['Thuis'],9.99,,,
fundoo,base,be,27360,Mon Nov  5 03:16:05 2018,['0026635284783'],"['Thuis', 'Kinderfeest', 'Ballonnen', 'Ballonnen']",4.99,,,
fundoo,base,be,39128,Mon Nov  5 03:16:06 2018,['5028486352852'],"['Thuis', 'Speelfiguren', 'Speelfiguren Jongens', 'pokemon']",8.99,,,
fundoo,base,be,27542,Mon Nov  5 03:16:06 2018,['0026635083188'],['Thuis'],19.99,,,
fundoo,base,be,24896,Mon Nov  5 03:16:07 2018,['3700392420505'],['Thuis'],12.99,11.04,
fundoo,base,be,43280,Mon Nov  5 03:16:08 2018,['5060014051004'],['Thuis'],4.99,4.24,
fundoo,base,be,37115,Mon Nov  5 03:16:07 2018,['8718469463091'],"['Thuis', 'Trampolines']",479.0,,,
fundoo,base,be,61239,Mon Nov  5 03:16:08 2018,['5201184892602'],['Thuis'],2.99,,,
fundoo,base,be,35079,Mon Nov  5 03:16:08 2018,['09789026328442'],['Thuis'],20.99,,,
fundoo,base,be,73427,Mon Nov  5 03:16:10 2018,['4010070373207'],['Thuis'],19.95,,,
fundoo,base,be,4946,Mon Nov  5 03:16:10 2018,['8717202090693'],['Thuis'],999.0,,,
fundoo,base,be,8947,Mon Nov  5 03:16:11 2018,['8718408115371'],['Thuis'],5.49,2.75,
fundoo,base,be,50002,Mon Nov  5 03:16:12 2018,['5414635070317'],['Thuis'],1.99,1.39,
fundoo,base,be,30520,Mon Nov  5 03:16:12 2018,['5420023175779'],['Thuis'],17.99,,,
fundoo,base,be,64935,Mon Nov  5 03:16:12 2018,['5702016110913'],"['Thuis', 'LEGO', 'LEGO Hard to find']",19.99,16.99,
fundoo,base,be,9807,Mon Nov  5 03:16:12 2018,['4001702024314'],"['Thuis', 'Speelgoedvoertuigen', 'Kranen']",16.99,14.44,
fundoo,base,be,61081,Mon Nov  5 03:16:13 2018,['8056379047780'],['Thuis'],14.99,12.74,
fundoo,base,be,24852,Mon Nov  5 03:16:14 2018,['4041077000964'],['Thuis'],29.99,17.84,
fundoo,base,be,8298,Mon Nov  5 03:16:15 2018,['5411028070947'],['Thuis'],1.99,1.0,
fundoo,base,be,62768,Mon Nov  5 03:16:17 2018,['8713791038762'],['Thuis'],6.99,,,
fundoo,base,be,69333,Mon Nov  5 03:16:18 2018,['4960999670027'],['Thuis'],15.99,,,
fundoo,base,be,68405,Mon Nov  5 03:16:18 2018,['4010070374075'],['Thuis'],9.95,,,
fundoo,base,be,37587,Mon Nov  5 03:16:18 2018,['5033588048527'],['Thuis'],49.99,,,
fundoo,base,be,30746,Mon Nov  5 03:16:19 2018,['0000042023319'],['Thuis'],1.99,1.69,
fundoo,base,be,37367,Mon Nov  5 03:16:19 2018,['4005556216444'],"['Thuis', 'Ravensburger']",25.99,,,
fundoo,base,be,43221,Mon Nov  5 03:16:19 2018,['8718469469352'],['Thuis'],699.0,,,
fundoo,base,be,23257,Mon Nov  5 03:16:19 2018,['4893351510207'],"['Thuis', 'Speelgoedvoertuigen', ""Auto's & Moto's""]",39.99,,,
fundoo,base,be,47137,Mon Nov  5 03:16:19 2018,['4008789092304'],['Thuis'],11.99,10.19,
fundoo,base,be,66061,Mon Nov  5 03:16:20 2018,['3499550364262'],['Thuis'],49.99,,,
fundoo,base,be,60548,Mon Nov  5 03:16:20 2018,['8426420034609'],"['Thuis', 'Baby & peuter', 'Baby eet en drink', 'Fopspenen']",4.99,,,
fundoo,base,be,35054,Mon Nov  5 03:16:21 2018,['8710341022129'],['Thuis'],7.99,4.75,
fundoo,base,be,23048,Mon Nov  5 03:16:23 2018,['5410808107187'],['Thuis'],20.99,6.3,
fundoo,base,be,57332,Mon Nov  5 03:16:24 2018,['8710341130299'],"['Thuis', 'Baby & peuter', 'Waterspeelgoed']",7.99,6.79,
fundoo,base,be,67577,Mon Nov  5 03:16:25 2018,['0778988151570'],['Thuis'],15.99,13.59,
fundoo,base,be,6435,Mon Nov  5 03:16:24 2018,['5414301518778'],"['Thuis', 'Breinbrekers']",16.99,14.44,
fundoo,base,be,22332,Mon Nov  5 03:16:25 2018,['4005086207622'],['Thuis'],4.49,,,
fundoo,base,be,73521,Mon Nov  5 03:16:25 2018,['0887961482898'],['Thuis'],12.99,11.04,
fundoo,base,be,2010,Mon Nov  5 03:16:25 2018,['5425001716180'],"['Thuis', 'Zwembaden', 'Zwembad onderhoud', 'Zwembadproducten']",54.99,,,
fundoo,base,be,29785,Mon Nov  5 03:16:26 2018,['3417762184591'],"['Thuis', 'Spelcomputers']",15.99,13.59,
fundoo,base,be,36613,Mon Nov  5 03:16:26 2018,['5420071112818'],"['Thuis', 'Buitenspeelgoed']",8.99,7.64,
fundoo,base,be,49619,Mon Nov  5 03:16:27 2018,['4010070319311'],['Thuis'],6.95,,,
fundoo,base,be,48560,Mon Nov  5 03:16:27 2018,['4005556090853'],"['Thuis', 'Kinderpuzzels']",10.99,9.34,
fundoo,base,be,2305,Mon Nov  5 03:16:27 2018,['2163076219856'],"['Thuis', 'Zwembaden', 'Zwembadpompen', 'Onderdelen pompen']",49.99,,,
fundoo,base,be,47101,Mon Nov  5 03:16:29 2018,['8717973930648'],"['Thuis', 'Speeltoestellen', 'Speelhuisjes', 'Houten speelhuisjes']",999.0,849.15,
fundoo,base,be,13208,Mon Nov  5 03:16:29 2018,['09789461310873'],['Thuis'],5.0,,,
fundoo,base,be,63725,Mon Nov  5 03:16:29 2018,['4009803070346'],['Thuis'],24.99,21.24,
fundoo,base,be,31575,Mon Nov  5 03:16:29 2018,['0672552093177'],"['Thuis', 'Actie speelgoed', 'Speelgoedgeweren']",9.99,,,
fundoo,base,be,59119,Mon Nov  5 03:16:30 2018,['0039897518015'],['Thuis'],34.99,,,
